id,이름,소재지주소,위도,경도
1,365플러스의원,"인천광역시 서구 이음3로 145, JK타워 305~307호 (당하동)",37.5888543,126.7080419
2,레몬트리치과의원,"인천광역시 남동구 서창남로 16-42, 301호 (서창동, 서창건아빌딜)",37.4220473,126.7518589
3,미오그린슈머병리과의원,"인천광역시 남동구 서창방산로 55, 서창비젼프라자 705호 (서창동)",37.4224647,126.7507054
5,미소미치과의원,"인천광역시 남동구 서창남순환로 2, 3층 301호, 302호일부호 (서창동, 신한프라자)",37.4244603,126.7503346
9,서울이사랑치과의원,"인천광역시 남동구 장아산로190번길 10-18, 3층 (서창동)",37.43538,126.7510159
11,명의원,"인천광역시 남동구 서창남순환로 222, 센타프라자 5층 502,503,504호 (서창동)",37.4241594,126.7495132
12,바로튼튼의원,"인천광역시 남동구 서창남순환로 222, 센타프라자 2층 202호, 203호 (서창동)",37.4241594,126.7495132
14,삼성베스트내과의원,"인천광역시 남동구 서창남순환로 222, 403호 (서창동, 센타프라자 제1동)",37.4241594,126.7495132
15,상쾌한이비인후과의원,"인천광역시 남동구 서창남순환로 222, 302호 (서창동, 센타프라자제1동)",37.4241594,126.7495132
16,서울센트리얼치과병원,"인천광역시 남동구 서창남순환로 222, 센타프라자 304,402호 (서창동)",37.4241594,126.7495132
17,연세봄소아청소년과의원,"인천광역시 남동구 서창남순환로 222, 405호 (서창동, 센타프라자제1동)",37.4241594,126.7495132
18,조은치과의원,"인천광역시 남동구 서창남순환로216번길 17, 304호 (서창동, 스카이플러스)",37.4235351,126.7494337
20,밝은미래소아청소년과의원,"인천광역시 남동구 서창남순환로 223, A동 405,406층 (서창동, 아페리온)",37.4248367,126.7489215
21,삼성더봄피부과의원,"인천광역시 남동구 서창남순환로 223, 아페리온 A동 409호 (서창동)",37.4248367,126.7489215
22,서울아페리온치과의원,"인천광역시 남동구 서창남순환로 223, A동 4층 402,403,404호 (서창동, 아페리온)",37.4248367,126.7489215
23,서창밝은안과의원,"인천광역시 남동구 서창남순환로 223, 4층 407호 (서창동)",37.4248367,126.7489215
24,서창재활의학과의원,"인천광역시 남동구 서창남순환로 223, 5층 509~511호 (서창동, 아페리온)",37.4248367,126.7489215
25,서창제이산부인과의원,"인천광역시 남동구 서창남순환로 223, 2층 A-204, A-206호 (서창동)",37.4248367,126.7489215
26,서창코아이비인후과의원,"인천광역시 남동구 서창남순환로 223, 아페리온 304,305,306,307,411,412호 (서창동)",37.4248367,126.7489215
28,온정형외과의원,"인천광역시 남동구 서창남순환로 223, 308,309호 (서창동)",37.4248367,126.7489215
32,눈애안과의원,"인천광역시 남동구 서창남순환로216번길 12, 월드타워 2층 201호. 202호, 203호 (서창동)",37.4235218,126.7485716
33,블루앤치과의원,"인천광역시 남동구 서창남순환로216번길 12, 402호, 403호, 404호 (서창동, 월드타워)",37.4235218,126.7485716
