NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
1,365플러스의원,의원,032-345-3657,22869,"인천광역시 서구 이음3로 145, JK타워 305~307호 (당하동)",
2,레몬트리치과의원,치과의원,032-462-2879,21618,"인천광역시 남동구 서창남로 16-42, 301호 (서창동, 서창건아빌딜)",
3,미오그린슈머병리과의원,의원,032-467-1336,21617,"인천광역시 남동구 서창방산로 55, 서창비젼프라자 705호 (서창동)",
4,인천더하다한방병원,한방병원,465-7510,21617,"인천광역시 남동구 서창방산로 55, 서창비젼프라자 4층 (서창동)",
5,미소미치과의원,치과의원,032-233-0116,21610,"인천광역시 남동구 서창남순환로 2, 3층 301호, 302호일부호 (서창동, 신한프라자)",
6,천사약국,약국,032-471-1128,21610,"인천광역시 남동구 서창남순환로 2, 106호 (서창동)",
7,다나약국,약국,032-205-0500,21607,"인천광역시 남동구 장아산로 186, 정산빌딩 1층 104호 (서창동)",
8,효민요양병원,요양병원,032-461-7577,21617,"인천광역시 남동구 서창남순환로216번길 46, MS프라자, 3층일부, 4~6층, 7층일부 (서창동)",
9,서울이사랑치과의원,치과의원,473-2882,21607,"인천광역시 남동구 장아산로190번길 10-18, 3층 (서창동)",
10,남동부부한의원,한의원,464-4246,21617,"인천광역시 남동구 서창남순환로 222, 303호 (서창동, 센터프라자)",
11,명의원,의원,473-3400,21617,"인천광역시 남동구 서창남순환로 222, 센타프라자 5층 502,503,504호 (서창동)",
12,바로튼튼의원,의원,032-465-7577,21617,"인천광역시 남동구 서창남순환로 222, 센타프라자 2층 202호, 203호 (서창동)",
13,베스트약국,약국,468-0365,21617,"인천광역시 남동구 서창남순환로 222, 108호 (서창동, 센타프라자)",
14,삼성베스트내과의원,의원,032-715-5594,21617,"인천광역시 남동구 서창남순환로 222, 403호 (서창동, 센타프라자 제1동)",
15,상쾌한이비인후과의원,의원,032-465-6345,21617,"인천광역시 남동구 서창남순환로 222, 302호 (서창동, 센타프라자제1동)",
16,서울센트리얼치과병원,치과병원,469-2879,21617,"인천광역시 남동구 서창남순환로 222, 센타프라자 304,402호 (서창동)",
17,연세봄소아청소년과의원,의원,463-2330,21617,"인천광역시 남동구 서창남순환로 222, 405호 (서창동, 센타프라자제1동)",
18,조은치과의원,치과의원,032-467-2879,21617,"인천광역시 남동구 서창남순환로216번길 17, 304호 (서창동, 스카이플러스)",
19,해님달님한의원,한의원,032-461-1110,21617,"인천광역시 남동구 서창남순환로216번길 17, 302호 (서창동, 스카이플러스)",
20,밝은미래소아청소년과의원,의원,468-8002,21614,"인천광역시 남동구 서창남순환로 223, A동 405,406층 (서창동, 아페리온)",
21,삼성더봄피부과의원,의원,715-7517,21614,"인천광역시 남동구 서창남순환로 223, 아페리온 A동 409호 (서창동)",
22,서울아페리온치과의원,치과의원,032-225-2828,21614,"인천광역시 남동구 서창남순환로 223, A동 4층 402,403,404호 (서창동, 아페리온)",
23,서창밝은안과의원,의원,463-8275,21614,"인천광역시 남동구 서창남순환로 223, 4층 407호 (서창동)",
24,서창재활의학과의원,의원,471-8400,21614,"인천광역시 남동구 서창남순환로 223, 5층 509~511호 (서창동, 아페리온)",
25,서창제이산부인과의원,의원,032-464-8899,21614,"인천광역시 남동구 서창남순환로 223, 2층 A-204, A-206호 (서창동)",
26,서창코아이비인후과의원,의원,466-4000,21614,"인천광역시 남동구 서창남순환로 223, 아페리온 304,305,306,307,411,412호 (서창동)",
27,서창한의원,한의원,465-7536,21614,"인천광역시 남동구 서창남순환로 223, A동 311호 (서창동)",
28,온정형외과의원,의원,032-422-6626,21614,"인천광역시 남동구 서창남순환로 223, 308,309호 (서창동)",
29,인천서창 오케이한의원,한의원,032-469-7575,21614,"인천광역시 남동구 서창남순환로 223, A동 410호 (서창동, 서창아페리온)",
30,차한의원,한의원,032-466-4663,21614,"인천광역시 남동구 서창남순환로 223, A동 5층 506호 (서창동, 아페리온)",
31,플러스약국,약국,032-465-0131,21614,"인천광역시 남동구 서창남순환로 223, 130,131호 (서창동, 아페리온 A동)",
32,눈애안과의원,의원,1660-1667,21617,"인천광역시 남동구 서창남순환로216번길 12, 월드타워 2층 201호. 202호, 203호 (서창동)",
33,블루앤치과의원,치과의원,473-7528,21617,"인천광역시 남동구 서창남순환로216번길 12, 402호, 403호, 404호 (서창동, 월드타워)",
34,서창마디척정형외과의원,의원,032-716-5911,21617,"인천광역시 남동구 서창남순환로216번길 12, 월드타워 3층 일부호 (서창동)",
35,서창사랑내과의원,의원,032-472-0077,21617,"인천광역시 남동구 서창남순환로216번길 12, 월드타워 3층 일부호 (서창동)",
36,스타약국,약국,472-3326,21617,"인천광역시 남동구 서창남순환로216번길 12, 월드타워 (서창동)",
37,아가파의원,의원,032-468-4600,21617,"인천광역시 남동구 서창남순환로216번길 12, 월드타워 204,205호 (서창동)",
38,아이사랑소아청소년과의원,의원,468-4643,21617,"인천광역시 남동구 서창남순환로216번길 12, 4층 405호 (서창동, 월드타워)",
39,더웰내과의원,의원,032-469-1237,21614,"인천광역시 남동구 서창남로 77, 메인프라자 5층 501~504호 (서창동)",
40,솔약국,약국,032-468-2106,21614,"인천광역시 남동구 서창남로 77, 1층 107호 (서창동)",
41,한빛산부인과의원,의원,032-466-3575,21614,"인천광역시 남동구 서창남로 77, 301,302호 (서창동)",
42,서창숲한의원,한의원,032-710-7510,21614,"인천광역시 남동구 서창남로 81, 투엠프라자 3층 304호, 305호, 306호, 307호, 308호 (서창동)",
43,아이마음어린이치과의원,치과의원,032-231-2828,21614,"인천광역시 남동구 서창남로 81, 투엠프라자 4층 404-406호 (서창동)",
44,연세이룸치과의원,치과의원,032-283-2828,21614,"인천광역시 남동구 서창남로 81, 투엠프라자 4층 402, 403호 (서창동)",
45,부개경희한의원,한의원,032-505-1391,21602,"인천광역시 남동구 장아산로 137, 서창중앙프라자 4층 (서창동)",http://www.yakchim.kr
46,서울삼성치과의원,치과의원,032-466-2870,21602,"인천광역시 남동구 장아산로 137, 서창중앙프라자 3층 (서창동)",
47,365잘봄한의원,한의원,719-7910,21614,"인천광역시 남동구 서창남순환로215번길 36, 리치프라자 306,307,308호 (서창동)",
48,늘온누리약국,약국,032-471-9329,21614,"인천광역시 남동구 서창남순환로215번길 17, 114호 (서창동)",
49,서울한마음치과의원,치과의원,032-468-7528,21614,"인천광역시 남동구 서창남순환로215번길 17, 4층 403호 (서창동, 마스타프라자)",
50,미소약국,약국,032-468-7323,21614,"인천광역시 남동구 서창남순환로215번길 48, 102호 (서창동)",
51,서울스카이치과의원,치과의원,032-467-2875,21614,"인천광역시 남동구 서창남순환로215번길 48, 5층 501호 (서창동)",
52,연세짱소아청소년과의원,의원,555-7533,21614,"인천광역시 남동구 서창남순환로215번길 48, 3층 304호 (서창동, 스카이플러스2)",
53,연세짱이비인후과의원,의원,297-2975,21614,"인천광역시 남동구 서창남순환로215번길 48, 3층 305,306호 (서창동, 스카이풀러스2)",
54,미소하나치과의원,치과의원,032-472-2275,21602,"인천광역시 남동구 매소홀로 1137, 3층 (서창동)",
55,봄빛소아청소년과의원,의원,032-465-2080,21602,"인천광역시 남동구 매소홀로 1137, 2층 (서창동)",
56,서창내과의원,의원,032-468-0031,21602,"인천광역시 남동구 매소홀로 1137, 2층 (서창동)",
57,서창약국,약국,032-465-0082,21602,"인천광역시 남동구 매소홀로 1137, 1층 (서창동)",
58,성혁제한의원,한의원,468-1075,21602,"인천광역시 남동구 매소홀로 1137, 3층 (서창동, 진명빌딩)",
59,메디팜서창약국,약국,032-461-8842,21614,"인천광역시 남동구 서창남순환로215번길 35, 109호 (서창동)",
60,서창행복내과의원,의원,710-7274,21614,"인천광역시 남동구 서창남순환로215번길 35, 5층 502~505호 (서창동, 승민프라자)",
61,근로복지공단인천병원,종합병원,032-500-0114,21417,"인천광역시 부평구 무네미로 446, (구산동)",
62,열린치과의원,치과의원,032-555-2875,21417,"인천광역시 부평구 무네미로 446, 근로복지공단인천병원 (구산동)",
63,인천중앙한의원,한의원,032-507-6954,21417,"인천광역시 부평구 무네미로 446, 근로복지공단인천병원 지하1층 (구산동)",
64,신광약국,약국,466-7066,21532,"인천광역시 남동구 장수로 27, 102호 (장수동, 주공아파트상가)",
65,연세푸른의원,의원,032-468-4683,21604,"인천광역시 남동구 독곡로6번길 4, (서창동)",
66,우리약국,약국,466-7578,21604,"인천광역시 남동구 독곡로6번길 4, 1층 (서창동)",
67,중앙약국,약국,032-513-9883,21457,"인천광역시 부평구 무네미로 453, (구산동)",
68,오약국,약국,032-464-3347,21615,"인천광역시 남동구 서창남순환로 140, 1층 105호 (서창동)",
69,참편한가정의원,의원,032-472-7585,21615,"인천광역시 남동구 서창남순환로 140, 더포레스트아파트상가동 2층 202,203,204호 (서창동, 더포레스트)",
70,행복한치과의원,치과의원,032-442-2828,21670,"인천광역시 남동구 청능대로718번길 7, 210호( 논현동, 소래풍림상가) (논현동, 소래마을풍림아파트)",
71,대한약국,약국,446-1800,21669,"인천광역시 남동구 앵고개로 963, 1층 (논현동)",
72,소래사랑치과의원,치과의원,032-446-0700,21669,"인천광역시 남동구 앵고개로 963, (논현동)",
73,윤정희약국,약국,446-3337,21670,"인천광역시 남동구 포구로 64-35, (논현동)",
74,한물결의원,의원,032-446-8275,21670,"인천광역시 남동구 포구로 64-35, 2층 (논현동)",
75,소래한의원,한의원,032-424-1020,21669,"인천광역시 남동구 포구로 63, 1층 (논현동)",
76,나은요양병원,요양병원,032-710-6001,21674,"인천광역시 남동구 소래역남로16번길 20, 둘리프라자 (논현동)",http://naeunhospital.co.kr
77,뿌리요양병원,요양병원,431-7979,21673,"인천광역시 남동구 앵고개로934번길 43, 뿌리요양병원 (논현동)",
78,신의한의원,한의원,032-425-1075,21670,"인천광역시 남동구 청능대로718번길 31, 3층 301호 (논현동)",
79,아름드림치과의원,치과의원,032-438-2888,21670,"인천광역시 남동구 청능대로718번길 31, 3층 (논현동)",
80,이편안인천요양병원,요양병원,868-9988,21673,"인천광역시 남동구 앵고개로948번길 4, 서울프라자 2~6층 (논현동)",
81,삼대창생한의원,한의원,032-423-1077,21669,"인천광역시 남동구 포구로 73, A동 2층 201호 (논현동)",
82,연세소래메디칼의원,의원,437-7585,21669,"인천광역시 남동구 포구로 75, 2,3,4층 (논현동, 송원빌딩)",
83,하나약국,약국,426-0617,21669,"인천광역시 남동구 포구로 75, 101호 (논현동, 송원빌딩)",
84,가까운약국,약국,032-423-5025,21673,"인천광역시 남동구 소래역로 38, 젠트라움논현 1층 107호 (논현동)",
85,꽃길약국,약국,032-428-0858,21674,"인천광역시 남동구 소래역남로 20, (논현동)",
86,의료법인 정진의료재단 영화병원,정신병원,442-2020,21673,"인천광역시 남동구 소래역로 42, 소래타워 302호, 6~10층 (논현동)",
87,경희논현한약국,약국,427-5388,21669,"인천광역시 남동구 장도로 4, 105호 (논현동)",
88,향림한의원,한의원,442-4793,21673,"인천광역시 남동구 소래역로 46, 202호 (논현동, 청호빌딩)",
89,이종구한의원,한의원,433-7172,21657,"인천광역시 남동구 은봉로419번길 21, 2층 (논현동, 번성빌딩)",http://www.johnqlee.com/
90,인천수한방병원,한방병원,032-422-7582,21673,"인천광역시 남동구 소래역로 50, 토성프라자 5층 501,502호 (논현동)",
91,김유진치과의원,치과의원,032-466-9889,21597,"인천광역시 남동구 장승남로 62, 3층 (만수동, 기성빌딩)",
92,강충구치과의원,치과의원,463-7300,21593,"인천광역시 남동구 장승남로 61, (만수동)",
93,담방사거리약국,약국,070-8648-0404,21593,"인천광역시 남동구 장승남로 61, 인일프라자 1층 107호 (만수동)",
94,삼성제일한의원,한의원,467-3435,21593,"인천광역시 남동구 장승남로 61, 402호, 403호 (만수동, 인일프라자)",http://www.ssfirst.co.kr
95,정이가는내과의원,의원,032-464-0502,21593,"인천광역시 남동구 장승남로 61, 인일프라자 502호 (만수동)",
96,명지약국,약국,463-3123,21541,"인천광역시 남동구 담방로 105, 7701동 103호 (만수동, 만수주공7단지임대상가)",
97,연세가정의원,의원,032-469-3453,21541,"인천광역시 남동구 담방로 105, 상가701동 101호 (만수동, 만수주공7단지상가빌딩)",
98,오치과의원,치과의원,865-0558,21541,"인천광역시 남동구 담방로 105, 701동 209호, 210호 (만수동, 만수주공아파트)",
99,경희든든부부한의원,한의원,032-710-6290,21673,"인천광역시 남동구 앵고개로 928, 202, 203호 (논현동)",
100,소래미소치과의원,치과의원,032-271-3770,21673,"인천광역시 남동구 앵고개로 928, 4층 407호 (논현동)",
101,소래약국,약국,424-2988,21673,"인천광역시 남동구 앵고개로 928, 108호 (논현동, 디에이프라자)",
102,서울메디카약국,약국,435-1223,21662,"인천광역시 남동구 포구로 96, 203호 (논현동, 주공13단지상가)",
103,서울의원,의원,032-446-1669,21662,"인천광역시 남동구 포구로 96, 203호일부, 204호 (논현동, 주공A상가)",
104,본비뇨기과의원,의원,472-4547,21596,"인천광역시 남동구 담방로 39, 302호 (만수동, 로얄프라자)",
105,이규린한의원,한의원,466-6777,21596,"인천광역시 남동구 담방로 39, 303호 (만수동, 로얄프라자)",
106,정준래치과의원,치과의원,032-464-1766,21596,"인천광역시 남동구 담방로 39, (만수동)",
107,천지약국,약국,472-7559,21596,"인천광역시 남동구 담방로 39, 로얄프라자 104호 (만수동)",
108,프라임치과의원,치과의원,032-463-1176,21594,"인천광역시 남동구 담방로 45, 201호 (만수동, 희망프라자)",
109,서울바른정치과의원,치과의원,032-461-2828,21594,"인천광역시 남동구 담방로47번길 2, 2층 (만수동)",
110,박경숙한의원,한의원,423-1423,21674,"인천광역시 남동구 소래역남로16번길 75, 에코메트로3차 더타워상가 203호 (논현동)",http://www.nfclinic.com
111,Dr.송내과의원,의원,032-469-4266,21594,"인천광역시 남동구 담방로 45, 301호 (만수동, 희망프라자)",http://drsong.co.kr/index.asp
112,동의보감한의원,한의원,462-5551,21594,"인천광역시 남동구 담방로 45, 2층 (만수동, 희망프라자)",
113,바른삼성이비인후과의원,의원,032-464-0706,21594,"인천광역시 남동구 담방로 45, 희망프라자 2층 201호일부호 (만수동)",
114,샛별약국,약국,466-0190,21594,"인천광역시 남동구 담방로 45, 2층 (만수동)",
115,윤병화정형외과의원,의원,032-471-8275,21594,"인천광역시 남동구 담방로 45, (만수동)",
116,바른이플란트치과의원,치과의원,032-213-2030,21596,"인천광역시 남동구 장승남로 54, 301호 (만수동, 신영프라자)",
117,송승용이비인후과의원,의원,032-464-8400,21596,"인천광역시 남동구 장승남로 54, 3층 (만수동, 신영프라자)",
118,영광약국,약국,464-7726,21596,"인천광역시 남동구 장승남로 54, 106호 (만수동, 신영프라자)",
119,일신약국,약국,032-502-7582,21419,"인천광역시 부평구 일신로14번길 10, (일신동)",
120,더산뜻의원,의원,032-473-7896,21594,"인천광역시 남동구 장승남로 51, 3층 (만수동)",
121,서울참마취통증의학과의원,의원,435-8275,21594,"인천광역시 남동구 장승남로 51, 5층 (만수동)",
122,현대치과보철과치과의원,치과의원,462-2872,21594,"인천광역시 남동구 장승남로 51, 6층 (만수동, 새한빌딩)",
123,형통한의원,한의원,462-1075,21594,"인천광역시 남동구 장승남로 51, 4층 (만수동, 새한빌딩)",
124,라이프치과의원,치과의원,032-503-2828,21419,"인천광역시 부평구 일신로14번길 12, 진한빌딩 2층 (일신동)",
125,우리가족치과의원,치과의원,032-271-2880,21596,"인천광역시 남동구 장승남로 48, 2층 201호 (만수동)",
126,정원산책한의원,한의원,032-465-7511,21596,"인천광역시 남동구 장승남로 48, 401호 (만수동, 제우빌딩)",
127,이레마취통증의학과의원,의원,032-462-7507,21596,"인천광역시 남동구 장승남로 46, 2층 일부호 (만수동)",
128,이아름다운치과의원,치과의원,032-466-0078,21596,"인천광역시 남동구 장승남로 46, 3층 (만수동, 조은메디칼)",
129,행복한우리약국,약국,466-9780,21596,"인천광역시 남동구 장승남로 46, 103호 (만수동, 조은빌딩)",
130,명소아청소년과의원,의원,032-504-8575,21419,"인천광역시 부평구 일신로14번길 24, (일신동)",
131,조선호치과의원,치과의원,032-503-0786,21419,"인천광역시 부평구 일신로14번길 24, (일신동)",
132,광생한의원,한의원,471-1075,21596,"인천광역시 남동구 장승남로 44, 4층 (만수동)",
133,남동성심의원,의원,465-4494,21591,"인천광역시 남동구 장승로 41, 지하1층 일부호, 1층 101호 (만수동)",
134,위케어 만수약국,약국,032-464-7707,21591,"인천광역시 남동구 장승로 41, 1층 102호 (만수동)",
135,늘희망약국,약국,032-503-8883,21419,"인천광역시 부평구 일신로14번길 34, (일신동)",
136,열린가정의원,의원,032-527-7599,21419,"인천광역시 부평구 일신로14번길 34, (일신동)",
137,인성한의원,한의원,032-513-8875,21419,"인천광역시 부평구 일신로14번길 34, 301호 (일신동, 두성빌딩)",
138,숨이편한치과의원,치과의원,463-2820,21594,"인천광역시 남동구 장승남로 39, 다이아몬드프라자 3층 301호 (만수동)",
139,더사랑소아청소년과의원,의원,032-425-4003,21596,"인천광역시 남동구 장승남로 38, 반달프라자 3층 301호 (만수동)",
140,새솔약국,약국,032-468-6877,21596,"인천광역시 남동구 장승남로 38, 반달프라자 102호 (만수동)",
141,예스메디칼의원,의원,032-467-5115,21594,"인천광역시 남동구 장승남로 37, (만수동)",
142,인천굿모닝약국,약국,471-5134,21594,"인천광역시 남동구 장승남로 37, 1층 (만수동, 스카이프라자)",
143,인천나미본정형외과의원,의원,032-710-3207,21594,"인천광역시 남동구 장승남로 37, 3층 (만수동)",
144,김형수치과의원,치과의원,032-469-2875,21596,"인천광역시 남동구 장승남로 36, 304호 (만수동)",
145,대웅약국,약국,461-1165,21596,"인천광역시 남동구 장승남로 36, 1층 (만수동, 만수프라자)",
146,선린내과의원,의원,032-465-9996,21596,"인천광역시 남동구 장승남로 36, (만수동)",
147,동화치과의원,치과의원,032-469-5275,21594,"인천광역시 남동구 장승남로 35, (만수동, 대영프라자 303호)",
148,신세계약국,약국,032-502-4570,21419,"인천광역시 부평구 경인로1118번길 14-7, (일신동)",
149,인천동진의원,의원,032-503-0991,21419,"인천광역시 부평구 경인로1118번길 14-7, 2층 (일신동)",
150,동서한의원,한의원,471-7077,21591,"인천광역시 남동구 장승로 31, (만수동)",
151,정한의원,한의원,467-8275,21596,"인천광역시 남동구 담방로21번길 55, 209~211호 (만수동, 뉴서울A상가)",
152,만수K정형외과의원,의원,032-461-3659,21594,"인천광역시 남동구 장승남로33번길 9, 대동아파트상가 301일부호 (만수동)",
153,창대치과의원,치과의원,032-462-2875,21591,"인천광역시 남동구 장승로 25, 5동 202호 (만수동, 장승백이상가)",
154,영광한의원,한의원,032-503-3338,21419,"인천광역시 부평구 경인로1104번길 5, (일신동)",
155,우리가정의원,의원,032-511-6565,21419,"인천광역시 부평구 경인로1104번길 23, (일신동)",
156,한울약국,약국,032-512-2706,21419,"인천광역시 부평구 경인로1104번길 23, (일신동)",
157,인천평화의료복지사회적협동조합평화의원,의원,032-524-6911,21419,"인천광역시 부평구 경인로1104번길 15, 1층 (일신동)",
158,인천평화의료복지사회적협동조합평화한의원,한의원,032-524-6911,21419,"인천광역시 부평구 경인로1104번길 15, 3층 일부호 (일신동)",
159,문형일치과의원,치과의원,032-513-0180,21419,"인천광역시 부평구 경인로1104번길 6, (부개동)",
160,아름약국,약국,032-505-0891,21419,"인천광역시 부평구 경인로1104번길 14-2, (부개동)",
161,부개바른약국,약국,032-523-3370,21419,"인천광역시 부평구 경인로1104번길 18, 1층 일부호 (부개동)",
162,일신한의원,한의원,032-505-4402,21419,"인천광역시 부평구 경인로1104번길 14-4, (부개동)",
163,녹지원약국,약국,261-8275,21521,"인천광역시 남동구 만수로 107, 1층 (만수동)",
164,만수푸른치과의원,치과의원,032-471-2804,21521,"인천광역시 남동구 만수로 107, 2층 (만수동, 은성프라자)",
165,한사랑의원,의원,032-466-8275,21521,"인천광역시 남동구 만수로 107, 2층 (만수동, 은성프라자)",
166,희망약국,약국,462-1278,21522,"인천광역시 남동구 만수로100번길 3, (만수동)",
167,한사랑가정의원,의원,472-7272,21591,"인천광역시 남동구 장승로 13-1, (만수동)",http://cafe.daum.net/hanobesity
168,논현이편한치과의원,치과의원,032-427-2275,21665,"인천광역시 남동구 소래역로 93, 201,202호 (논현동, 신영지웰아파트상가)",
169,온누리은혜약국,약국,464-1081,21594,"인천광역시 남동구 장승로 14, (만수동)",
170,제일메디칼의원,의원,463-8878,21522,"인천광역시 남동구 만수로 78, 1~2층 전체호 (만수동)",
171,도림이편한치과의원,치과의원,032-446-2758,21645,"인천광역시 남동구 논고개로 337, 3층 (도림동, 명원빌딩)",
172,우리가족의원,의원,441-8575,21645,"인천광역시 남동구 논고개로 337, (도림동)",
173,참약국,약국,442-7070,21645,"인천광역시 남동구 논고개로 337, 1층 (도림동)",
174,변영환치과의원,치과의원,032-513-0495,21402,"인천광역시 부평구 수변로52번길 6, 가동 202호 (부개동, 부개성일쇼핑)",
175,강한의원,한의원,070-4680-1337,21012,"인천광역시 계양구 당미3길 30-1, 1층 (동양동)",
176,늘푸른한의원,한의원,438-4575,21684,"인천광역시 남동구 에코중앙로156번길 5-33, 2층 (논현동)",
177,365라피에스타약국,약국,032-255-7000,21679,"인천광역시 남동구 논고개로 61, 라피에스타 (논현동)",
178,김영진한의원,한의원,715-8275,21679,"인천광역시 남동구 논고개로 61, 4층 405호 (논현동, 라피에스타)",
179,논현베스트정형외과의원,의원,032-235-7575,21679,"인천광역시 남동구 논고개로 61, 라피에스타 505,506호 (논현동)",
180,논현수의원,의원,032-439-8587,21679,"인천광역시 남동구 논고개로 61, 라피에스타 4층 410호, 411호, 412호 (논현동)",
181,논현탑내과의원,의원,032-433-1175,21679,"인천광역시 남동구 논고개로 61, 4층 403호 (논현동, 라피에스타)",
182,올바른신경외과의원,의원,429-5038,21679,"인천광역시 남동구 논고개로 61, 라피에스타 4층 401호 (논현동)",
183,튼튼소아청소년과의원,의원,032-432-3079,21679,"인천광역시 남동구 논고개로 61, 4층 402호 (논현동, 라피에스타)",
184,화이트펄치과의원,치과의원,032-423-2879,21679,"인천광역시 남동구 논고개로 61, 404호 (논현동, 라피에스타)",
