NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
1,삼성물산(주)부속의원,의원,02-2145-7070,05288,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",
2,삼성물산(주)부속치과의원,치과의원,02-2145-7101,05288,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",
3,삼성이앤에이(주) 부속의원,의원,02-2053-7581,05288,"서울특별시 강동구 상일로6길 26, 지1층 (상일동)",
4,서울마이팜약국,약국,02-429-5862,05288,"서울특별시 강동구 상일로6길 26, 삼성엔지니어링 지하1층 (상일동)",
5,서울프라임치과의원,치과의원,02-442-3228,05288,"서울특별시 강동구  상일로6길 26, (상일동)",
6,구인약국,약국,02-443-6401,05749,"서울특별시 송파구 성내천로 261, (마천동)",
7,정가정의원,의원,02-431-1456,05749,"서울특별시 송파구 성내천로 261, (마천동, 2층)",
8,경희나봄한의원,한의원,02-403-1010,05759,"서울특별시 송파구 마천로57길 20, 2층,3층 (마천동)",
9,성안치과의원,치과의원,426-1254,05216,"서울특별시 강동구 고덕로97길 29, (강일동, 강일리버파크9단지상가 203호)",
10,리엔약국,약국,02-441-9377,05287,"서울특별시 강동구 상일로 74, 상가2동 2층 203호 (상일동, 고덕리엔파크3단지아파트)",
11,상일에이치(H)내과의원,의원,02-481-7575,05287,"서울특별시 강동구 상일로 74, 2층 (상일동, 고덕리엔파크3단지아파트)",
12,연세미래엔미소치과병원,치과병원,02-441-2275,05288,"서울특별시 강동구 상일로10길 36, 2층 202,203호 (상일동, 세종텔레콤지식산업센터)",
13,정감한의원,한의원,02-3291-8275,05288,"서울특별시 강동구 상일로10길 36, 2층 201호 (상일동, 세종텔레콤지식산업센터)",http://www.junggam.wo.tc
14,송파성민의원,의원,02-403-2338,05759,"서울특별시 송파구 마천로 333, 2층 (마천동)",http://
15,신라온누리약국,약국,02-353-8845,05759,"서울특별시 송파구 마천로 333, 1층 1호 (마천동)",
16,김미경소아과의원,의원,02-402-4341,05759,"서울특별시 송파구 마천로57길 4, (마천동, 2층)",
17,마천세브란스치과의원,치과의원,02-403-3875,05759,"서울특별시 송파구 마천로57길 4, 3층 (마천동)",
18,중앙프라자약국,약국,02-3401-3818,05759,"서울특별시 송파구 마천로57길 4, 1층 (마천동)",
19,서울심치과의원,치과의원,02-409-2835,05758,"서울특별시 송파구 마천로57길 7, 201호 (마천동)",
20,중앙내과의원,의원,02-408-3914,05758,"서울특별시 송파구 마천로57길 5, 마천빌딩 4층 (마천동)",
21,하나한의원,한의원,02-430-1078,05758,"서울특별시 송파구 마천로57길 5, 2,3층 (마천동)",http://www.hanahanbang.com/
22,서울치과의원,치과의원,02-428-6408,05283,"서울특별시 강동구 천호대로 1471, (상일제1동)",
23,한양성심의원,의원,02-427-8875,05283,"서울특별시 강동구 천호대로 1471, (상일동)",
24,진메디칼약국,약국,02-400-9240,05758,"서울특별시 송파구 마천로57길 3, 1층 (마천동)",
25,본디올동의한의원,한의원,02-404-5503,05758,"서울특별시 송파구 마천로61다길 21, 2층 (마천동)",
26,메디팜미래로약국,약국,02-426-4793,05283,"서울특별시 강동구 천호대로 1467, (상일동)",
27,뉴서울의원,의원,02-2043-3241,05751,"서울특별시 송파구 거마로22길 49, 2층 (마천동, 범양빌딩)",
28,동의삼성약국,약국,02-400-2636,05751,"서울특별시 송파구 거마로22길 49, (마천동)",
29,서울보스턴치과의원,치과의원,441-2782,05282,"서울특별시 강동구 상일로 43, 1층 (상일제1동)",
30,백일세한의원,한의원,02-3426-3355,05284,"서울특별시 강동구 천호대로 1459, 진령빌딩 2층 (상일동)",
31,김재석한의원,한의원,02-442-8053,05282,"서울특별시 강동구 구천면로 670, (상일동)",
32,동의보감한의원,한의원,02-430-2585,05758,"서울특별시 송파구 마천로 315, 306호 (마천동, 현대그린빌)",
33,백치과의원,치과의원,02-448-3315,05758,"서울특별시 송파구 마천로 315, 3층 305호 (마천동, 현대그린빌)",
34,연세마디탑의원,의원,02-465-7600,05758,"서울특별시 송파구 마천로 315, 201~206호,232~240호 (마천동, 현대그린빌)",
35,고경석정형외과의원,의원,02-408-0075,05764,"서울특별시 송파구 오금로 551, 208동 B02호 (거여동, e편한세상 송파 파크센트럴)",
36,이준규치과의원,치과의원,02-449-8004,05750,"서울특별시 송파구 성내천로 224, (마천동)",
37,송파수치과의원,치과의원,02-443-7528,05764,"서울특별시 송파구 오금로 551, 208동 207,208호 (거여동, e편한세상 송파 파크센트럴)",
38,더공감치과의원,치과의원,02-441-7528,05282,"서울특별시 강동구 구천면로 664, 2층 201호 (상일동)",
39,종로광명약국,약국,02-426-0787,05282,"서울특별시 강동구 구천면로 664, (상일동)",
40,강남의원,의원,02-408-7999,05758,"서울특별시 송파구 마천로51길 2, 2층 (마천동, 수정빌딩)",
41,마천행복한약국,약국,02-449-5982,05758,"서울특별시 송파구 마천로51길 2, 수정빌딩 (마천동)",
42,이창훈내과의원,의원,02-448-7577,05758,"서울특별시 송파구 마천로51길 2, (마천동, 3층 4층)",
43,윤한의원,한의원,02-431-2010,05746,"서울특별시 송파구 성내천로 211, 104동 103,104호 (마천동, 우방아파트)",
44,시온뷰티의원,의원,02-404-7727,05758,"서울특별시 송파구 마천로 311, (마천동, 2층&B1)",
45,윤호약국,약국,02-400-0148,05758,"서울특별시 송파구 마천로 311, (마천동)",
46,상일치과의원,치과의원,02-429-2923,05282,"서울특별시 강동구 구천면로 660, 2층 (상일동)",
47,동인당한의원,한의원,02-443-5512,05751,"서울특별시 송파구 마천로41길 25, 1,2층 (마천동)",
48,목차수내과의원,의원,02-3426-7010,05282,"서울특별시 강동구 구천면로 658, 3층 (상일동)",
49,일선당한의원,한의원,02-429-1310,05282,"서울특별시 강동구 구천면로 658, 2층 (상일동)",
50,서울용한치과의원,치과의원,02-407-2080,05768,"서울특별시 송파구 오금로 543, (거여동)",
51,송파센텀정형외과의원,의원,02-400-1191,05768,"서울특별시 송파구 오금로 543, 4층, 5층(거여동, 서평프라자) (거여동)",
52,이화힐약국,약국,070-8806-2998,05768,"서울특별시 송파구 오금로 543, 1층 (거여동)",
53,해피아이리스의원,의원,02-448-4892,05768,"서울특별시 송파구 오금로 543, 6층 (거여동)",
54,보성약국,약국,02-443-3532,05752,"서울특별시 송파구 성내천로 212, (마천동)",
55,새생명이현수내과의원,의원,02-430-2139,05752,"서울특별시 송파구 성내천로 212, 2층 (마천동)",
56,이계원치과의원,치과의원,02-430-2559,05752,"서울특별시 송파구 성내천로 212, 2층 (마천동)",
57,강일역1번출구약국,약국,02-3427-2225,05217,"서울특별시 강동구 고덕로 433, 1층 (강일동)",
58,서울이레소망치과의원,치과의원,02-429-2891,05217,"서울특별시 강동구 고덕로 433, 이레빌딩 302~303호 (강일동)",
59,이레정형외과의원,의원,02-481-5404,05217,"서울특별시 강동구 고덕로 433, 이레빌딩 4~5층 (강일동)",
60,한가족한의원,한의원,400-6996,05751,"서울특별시 송파구 마천로41길 21, (마천동,2층)",
61,김혜숙산부인과의원,의원,02-403-7300,05757,"서울특별시 송파구 마천로41길 22, (마천동)",
62,부부치과의원,치과의원,02-400-3782,05757,"서울특별시 송파구 마천로41길 22, (마천동)",
63,후생약국,약국,02-400-0614,05756,"서울특별시 송파구 마천로45길 15, (마천동)",
64,서울건우정형외과의원,의원,02-426-9876,05217,"서울특별시 강동구 고덕로 429, 2,3층 (강일동)",
65,남다른한의원,한의원,02-3402-0718,05852,"서울특별시 송파구 위례광장로 270, 2층 Y218호 (장지동, 송파와이즈더샵)",
66,굿모닝의원,의원,02-409-7576,05756,"서울특별시 송파구 마천로41길 20, (마천동, 2층)",www.gm-slim.com/
67,명문약국,약국,02-400-8216,05756,"서울특별시 송파구 마천로41길 20, 1층 (마천동)",
68,연세치과의원,치과의원,02-400-2963,05756,"서울특별시 송파구 마천로41길 20, 2층 (마천동)",
69,명가마취통증의학과의원,의원,02-429-0811,05285,"서울특별시 강동구 상일로12길 99, 4층 (상일제2동)",
70,서울미치과의원,치과의원,02-430-2828,05756,"서울특별시 송파구 마천로41길 17, 2층 (마천동)",
71,수하림한의원,한의원,02-408-1235,05756,"서울특별시 송파구 마천로41길 17, 2층 (마천동)",
72,중앙한의원,한의원,02-3012-5588,05756,"서울특별시 송파구 마천로45길 7, 101호 (마천동)",
73,강플러스내과의원,의원,02-400-8827,05757,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 2,3층 (마천동)",
74,이화온누리약국,약국,02-402-2671,05757,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 (마천동)",
75,강동드림산부인과의원,의원,02-441-4567,05285,"서울특별시 강동구 상일로12길 97, (상일제2동)",
76,김찬웅한의원,한의원,02-448-6457,05756,"서울특별시 송파구 마천로41길 15, 2층 (마천동)",
77,바로드림약국,약국,02-426-2956,05285,"서울특별시 강동구 상일로12길 97, 101호 (강일동)",
78,서울천사치과의원,치과의원,02-704-2875,05756,"서울특별시 송파구 마천로41길 15, 2층 (마천동)",
79,마천한의원,한의원,02-406-7585,05756,"서울특별시 송파구 마천로41길 14, 1~3층 (마천동)",
80,굿본재활의학과의원,의원,02-403-9300,05849,"서울특별시 송파구 위례광장로 230, 제상가3 제C동 2층 203,205,206호 (장지동, 위례2차아이파크)",
81,아이파크약국,약국,02-403-8275,05849,"서울특별시 송파구 위례광장로 230, B동 207호 (장지동, 위례2차아이파크)",
82,위례별한의원,한의원,02-402-5577,05849,"서울특별시 송파구 위례광장로 230, 1층 B-112호 (장지동, 위례2차아이파크)",
83,이루이비인후과의원,의원,02-406-2500,05849,"서울특별시 송파구 위례광장로 230, C동 201,202호 (장지동, 위례2차아이파크)",
84,남매약국,약국,02-407-8774,05773,"서울특별시 송파구 오금로64길 4, (거여동)",
85,미래안과의원,의원,02-430-7555,05756,"서울특별시 송파구 마천로41길 9, 2층 (마천동)",
86,연세내과의원,의원,02-407-2692,05756,"서울특별시 송파구 마천로41길 9, 3층 (마천동)",
87,옵티마100세약국,약국,02-448-4411,05756,"서울특별시 송파구 마천로41길 9, (마천동)",
88,스타키즈소아청소년과의원,의원,02-431-3751,05852,"서울특별시 송파구 위례광장로 136, D동 201호 (장지동, 위례아이파크)",
