NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지,위도,경도
1,삼성물산(주)부속의원,의원,02-2145-7070,5288,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",,37.5487917,127.1752267
2,삼성물산(주)부속치과의원,치과의원,02-2145-7101,5288,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",,37.5487917,127.1752267
3,삼성이앤에이(주) 부속의원,의원,02-2053-7581,5288,"서울특별시 강동구 상일로6길 26, 지1층 (상일동)",,37.5487917,127.1752267
4,서울마이팜약국,약국,02-429-5862,5288,"서울특별시 강동구 상일로6길 26, 삼성엔지니어링 지하1층 (상일동)",,37.5487917,127.1752267
5,서울프라임치과의원,치과의원,02-442-3228,5288,"서울특별시 강동구  상일로6길 26, (상일동)",,37.5487917,127.1752267
6,구인약국,약국,02-443-6401,5749,"서울특별시 송파구 성내천로 261, (마천동)",,37.497237,127.1543724
7,정가정의원,의원,02-431-1456,5749,"서울특별시 송파구 성내천로 261, (마천동, 2층)",,37.497237,127.1543724
8,경희나봄한의원,한의원,02-403-1010,5759,"서울특별시 송파구 마천로57길 20, 2층,3층 (마천동)",,37.4952153,127.1532667
9,성안치과의원,치과의원,426-1254,5216,"서울특별시 강동구 고덕로97길 29, (강일동, 강일리버파크9단지상가 203호)",,37.5605657,127.1788624
10,리엔약국,약국,02-441-9377,5287,"서울특별시 강동구 상일로 74, 상가2동 2층 203호 (상일동, 고덕리엔파크3단지아파트)",,37.5531625,127.1752949
11,상일에이치(H)내과의원,의원,02-481-7575,5287,"서울특별시 강동구 상일로 74, 2층 (상일동, 고덕리엔파크3단지아파트)",,37.5531625,127.1752949
12,연세미래엔미소치과병원,치과병원,02-441-2275,5288,"서울특별시 강동구 상일로10길 36, 2층 202,203호 (상일동, 세종텔레콤지식산업센터)",,37.5508328,127.1741318
13,정감한의원,한의원,02-3291-8275,5288,"서울특별시 강동구 상일로10길 36, 2층 201호 (상일동, 세종텔레콤지식산업센터)",http://www.junggam.wo.tc,37.5508328,127.1741318
14,송파성민의원,의원,02-403-2338,5759,"서울특별시 송파구 마천로 333, 2층 (마천동)",http://,37.4938996,127.1519878
15,신라온누리약국,약국,02-353-8845,5759,"서울특별시 송파구 마천로 333, 1층 1호 (마천동)",,37.4938996,127.1519878
16,김미경소아과의원,의원,02-402-4341,5759,"서울특별시 송파구 마천로57길 4, (마천동, 2층)",,37.4943506,127.1520885
17,마천세브란스치과의원,치과의원,02-403-3875,5759,"서울특별시 송파구 마천로57길 4, 3층 (마천동)",,37.4943506,127.1520885
18,중앙프라자약국,약국,02-3401-3818,5759,"서울특별시 송파구 마천로57길 4, 1층 (마천동)",,37.4943506,127.1520885
19,서울심치과의원,치과의원,02-409-2835,5758,"서울특별시 송파구 마천로57길 7, 201호 (마천동)",,37.4946412,127.1520019
20,중앙내과의원,의원,02-408-3914,5758,"서울특별시 송파구 마천로57길 5, 마천빌딩 4층 (마천동)",,37.4945429,127.1519379
21,하나한의원,한의원,02-430-1078,5758,"서울특별시 송파구 마천로57길 5, 2,3층 (마천동)",http://www.hanahanbang.com/,37.4945429,127.1519379
22,서울치과의원,치과의원,02-428-6408,5283,"서울특별시 강동구 천호대로 1471, (상일제1동)",,37.5465394,127.1714851
23,한양성심의원,의원,02-427-8875,5283,"서울특별시 강동구 천호대로 1471, (상일동)",,37.5465394,127.1714851
24,진메디칼약국,약국,02-400-9240,5758,"서울특별시 송파구 마천로57길 3, 1층 (마천동)",,37.494413,127.1517634
25,본디올동의한의원,한의원,02-404-5503,5758,"서울특별시 송파구 마천로61다길 21, 2층 (마천동)",,37.4948584,127.1518221
26,메디팜미래로약국,약국,02-426-4793,5283,"서울특별시 강동구 천호대로 1467, (상일동)",,37.5463582,127.1712217
27,뉴서울의원,의원,02-2043-3241,5751,"서울특별시 송파구 거마로22길 49, 2층 (마천동, 범양빌딩)",,37.4968936,127.1520044
28,동의삼성약국,약국,02-400-2636,5751,"서울특별시 송파구 거마로22길 49, (마천동)",,37.4968936,127.1520044
29,서울보스턴치과의원,치과의원,441-2782,5282,"서울특별시 강동구 상일로 43, 1층 (상일제1동)",,37.550886,127.172572
30,백일세한의원,한의원,02-3426-3355,5284,"서울특별시 강동구 천호대로 1459, 진령빌딩 2층 (상일동)",,37.5460212,127.1703249
31,김재석한의원,한의원,02-442-8053,5282,"서울특별시 강동구 구천면로 670, (상일동)",,37.5508238,127.1723964
32,동의보감한의원,한의원,02-430-2585,5758,"서울특별시 송파구 마천로 315, 306호 (마천동, 현대그린빌)",,37.4951788,127.1509931
33,백치과의원,치과의원,02-448-3315,5758,"서울특별시 송파구 마천로 315, 3층 305호 (마천동, 현대그린빌)",,37.4951788,127.1509931
34,연세마디탑의원,의원,02-465-7600,5758,"서울특별시 송파구 마천로 315, 201~206호,232~240호 (마천동, 현대그린빌)",,37.4951788,127.1509931
