id,이름,소재지주소,위도,경도
1,삼성물산(주)부속의원,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",37.5487917,127.1752267
2,삼성물산(주)부속치과의원,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",37.5487917,127.1752267
3,삼성이앤에이(주) 부속의원,"서울특별시 강동구 상일로6길 26, 지1층 (상일동)",37.5487917,127.1752267
5,서울프라임치과의원,"서울특별시 강동구  상일로6길 26, (상일동)",37.5487917,127.1752267
7,정가정의원,"서울특별시 송파구 성내천로 261, (마천동, 2층)",37.497237,127.1543724
8,경희나봄한의원,"서울특별시 송파구 마천로57길 20, 2층,3층 (마천동)",37.4952153,127.1532667
9,성안치과의원,"서울특별시 강동구 고덕로97길 29, (강일동, 강일리버파크9단지상가 203호)",37.5605657,127.1788624
11,상일에이치(H)내과의원,"서울특별시 강동구 상일로 74, 2층 (상일동, 고덕리엔파크3단지아파트)",37.5531625,127.1752949
12,연세미래엔미소치과병원,"서울특별시 강동구 상일로10길 36, 2층 202,203호 (상일동, 세종텔레콤지식산업센터)",37.5508328,127.1741318
13,정감한의원,"서울특별시 강동구 상일로10길 36, 2층 201호 (상일동, 세종텔레콤지식산업센터)",37.5508328,127.1741318
14,송파성민의원,"서울특별시 송파구 마천로 333, 2층 (마천동)",37.4938996,127.1519878
16,김미경소아과의원,"서울특별시 송파구 마천로57길 4, (마천동, 2층)",37.4943506,127.1520885
17,마천세브란스치과의원,"서울특별시 송파구 마천로57길 4, 3층 (마천동)",37.4943506,127.1520885
19,서울심치과의원,"서울특별시 송파구 마천로57길 7, 201호 (마천동)",37.4946412,127.1520019
20,중앙내과의원,"서울특별시 송파구 마천로57길 5, 마천빌딩 4층 (마천동)",37.4945429,127.1519379
21,하나한의원,"서울특별시 송파구 마천로57길 5, 2,3층 (마천동)",37.4945429,127.1519379
22,서울치과의원,"서울특별시 강동구 천호대로 1471, (상일제1동)",37.5465394,127.1714851
23,한양성심의원,"서울특별시 강동구 천호대로 1471, (상일동)",37.5465394,127.1714851
25,본디올동의한의원,"서울특별시 송파구 마천로61다길 21, 2층 (마천동)",37.4948584,127.1518221
27,뉴서울의원,"서울특별시 송파구 거마로22길 49, 2층 (마천동, 범양빌딩)",37.4968936,127.1520044
29,서울보스턴치과의원,"서울특별시 강동구 상일로 43, 1층 (상일제1동)",37.550886,127.172572
30,백일세한의원,"서울특별시 강동구 천호대로 1459, 진령빌딩 2층 (상일동)",37.5460212,127.1703249
31,김재석한의원,"서울특별시 강동구 구천면로 670, (상일동)",37.5508238,127.1723964
32,동의보감한의원,"서울특별시 송파구 마천로 315, 306호 (마천동, 현대그린빌)",37.4951788,127.1509931
33,백치과의원,"서울특별시 송파구 마천로 315, 3층 305호 (마천동, 현대그린빌)",37.4951788,127.1509931
34,연세마디탑의원,"서울특별시 송파구 마천로 315, 201~206호,232~240호 (마천동, 현대그린빌)",37.4951788,127.1509931
35,고경석정형외과의원,"서울특별시 송파구 오금로 551, 208동 B02호 (거여동, e편한세상 송파 파크센트럴)",37.4938204,127.1501461
36,이준규치과의원,"서울특별시 송파구 성내천로 224, (마천동)",37.4994391,127.1523282
37,송파수치과의원,"서울특별시 송파구 오금로 551, 208동 207,208호 (거여동, e편한세상 송파 파크센트럴)",37.4938204,127.1501461
38,더공감치과의원,"서울특별시 강동구 구천면로 664, 2층 201호 (상일동)",37.5507772,127.1717816
40,강남의원,"서울특별시 송파구 마천로51길 2, 2층 (마천동, 수정빌딩)",37.4955212,127.1505264
42,이창훈내과의원,"서울특별시 송파구 마천로51길 2, (마천동, 3층 4층)",37.4955212,127.1505264
43,윤한의원,"서울특별시 송파구 성내천로 211, 104동 103,104호 (마천동, 우방아파트)",37.5004551,127.1520382
44,시온뷰티의원,"서울특별시 송파구 마천로 311, (마천동, 2층&B1)",37.4954581,127.150376
46,상일치과의원,"서울특별시 강동구 구천면로 660, 2층 (상일동)",37.5506952,127.1712273
47,동인당한의원,"서울특별시 송파구 마천로41길 25, 1,2층 (마천동)",37.4970771,127.1504129
48,목차수내과의원,"서울특별시 강동구 구천면로 658, 3층 (상일동)",37.5506537,127.1709517
49,일선당한의원,"서울특별시 강동구 구천면로 658, 2층 (상일동)",37.5506537,127.1709517
50,서울용한치과의원,"서울특별시 송파구 오금로 543, (거여동)",37.4930449,127.1490407
51,송파센텀정형외과의원,"서울특별시 송파구 오금로 543, 4층, 5층(거여동, 서평프라자) (거여동)",37.4930449,127.1490407
53,해피아이리스의원,"서울특별시 송파구 오금로 543, 6층 (거여동)",37.4930449,127.1490407
55,새생명이현수내과의원,"서울특별시 송파구 성내천로 212, 2층 (마천동)",37.5000157,127.1512123
56,이계원치과의원,"서울특별시 송파구 성내천로 212, 2층 (마천동)",37.5000157,127.1512123
58,서울이레소망치과의원,"서울특별시 강동구 고덕로 433, 이레빌딩 302~303호 (강일동)",37.5575129,127.1738776
59,이레정형외과의원,"서울특별시 강동구 고덕로 433, 이레빌딩 4~5층 (강일동)",37.5575129,127.1738776
60,한가족한의원,"서울특별시 송파구 마천로41길 21, (마천동,2층)",37.4971274,127.1500588
61,김혜숙산부인과의원,"서울특별시 송파구 마천로41길 22, (마천동)",37.4969175,127.1499552
62,부부치과의원,"서울특별시 송파구 마천로41길 22, (마천동)",37.4969175,127.1499552
64,서울건우정형외과의원,"서울특별시 강동구 고덕로 429, 2,3층 (강일동)",37.5575025,127.1735035
65,남다른한의원,"서울특별시 송파구 위례광장로 270, 2층 Y218호 (장지동, 송파와이즈더샵)",37.4765219,127.1434373
66,굿모닝의원,"서울특별시 송파구 마천로41길 20, (마천동, 2층)",37.4969754,127.1496485
68,연세치과의원,"서울특별시 송파구 마천로41길 20, 2층 (마천동)",37.4969754,127.1496485
69,명가마취통증의학과의원,"서울특별시 강동구 상일로12길 99, 4층 (상일제2동)",37.5568528,127.1729373
70,서울미치과의원,"서울특별시 송파구 마천로41길 17, 2층 (마천동)",37.4972854,127.1496663
71,수하림한의원,"서울특별시 송파구 마천로41길 17, 2층 (마천동)",37.4972854,127.1496663
