id,이름,소재지주소,위도,경도
4,서울마이팜약국,"서울특별시 강동구 상일로6길 26, 삼성엔지니어링 지하1층 (상일동)",37.5487917,127.1752267
6,구인약국,"서울특별시 송파구 성내천로 261, (마천동)",37.497237,127.1543724
10,리엔약국,"서울특별시 강동구 상일로 74, 상가2동 2층 203호 (상일동, 고덕리엔파크3단지아파트)",37.5531625,127.1752949
15,신라온누리약국,"서울특별시 송파구 마천로 333, 1층 1호 (마천동)",37.4938996,127.1519878
18,중앙프라자약국,"서울특별시 송파구 마천로57길 4, 1층 (마천동)",37.4943506,127.1520885
24,진메디칼약국,"서울특별시 송파구 마천로57길 3, 1층 (마천동)",37.494413,127.1517634
26,메디팜미래로약국,"서울특별시 강동구 천호대로 1467, (상일동)",37.5463582,127.1712217
28,동의삼성약국,"서울특별시 송파구 거마로22길 49, (마천동)",37.4968936,127.1520044
39,종로광명약국,"서울특별시 강동구 구천면로 664, (상일동)",37.5507772,127.1717816
41,마천행복한약국,"서울특별시 송파구 마천로51길 2, 수정빌딩 (마천동)",37.4955212,127.1505264
45,윤호약국,"서울특별시 송파구 마천로 311, (마천동)",37.4954581,127.150376
52,이화힐약국,"서울특별시 송파구 오금로 543, 1층 (거여동)",37.4930449,127.1490407
54,보성약국,"서울특별시 송파구 성내천로 212, (마천동)",37.5000157,127.1512123
57,강일역1번출구약국,"서울특별시 강동구 고덕로 433, 1층 (강일동)",37.5575129,127.1738776
63,후생약국,"서울특별시 송파구 마천로45길 15, (마천동)",37.4974026,127.1500562
67,명문약국,"서울특별시 송파구 마천로41길 20, 1층 (마천동)",37.4969754,127.1496485
74,이화온누리약국,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 (마천동)",37.4962786,127.1491977
77,바로드림약국,"서울특별시 강동구 상일로12길 97, 101호 (강일동)",37.5568629,127.172652
81,아이파크약국,"서울특별시 송파구 위례광장로 230, B동 207호 (장지동, 위례2차아이파크)",37.4800734,127.1437404
84,남매약국,"서울특별시 송파구 오금로64길 4, (거여동)",37.4925648,127.1473285
87,옵티마100세약국,"서울특별시 송파구 마천로41길 9, (마천동)",37.497222,127.1487742
91,트램온누리약국,"서울특별시 송파구 위례광장로 136, E동 205층 (장지동, 위례아이파크)",37.476495,127.1422214
94,셀메드거여약국,"서울특별시 송파구 오금로 523, 1층 102호 (거여동)",37.4930864,127.1469404
96,강일약국,"서울특별시 강동구 아리수로97길 19, 상가동 201호 (강일동, 강일리버파크)",37.5670476,127.1760274
100,기쁨약국,"서울특별시 송파구 위례광장로 200, 101(일부),102호 (장지동, 에스비트램스퀘어)",37.4812025,127.1429237
105,송파하나약국,"서울특별시 송파구 마천로41길 1, 1층 (마천동)",37.4974251,127.1477889
122,참약국,"서울특별시 강동구 아리수로 421, MIDC빌딩 107호 (강일동)",37.5646372,127.1740839
128,코코약국,"서울특별시 강동구 상일로 55, 202호 (상일동)",37.5523798,127.1708829
132,위례푸른약국,"서울특별시 송파구 위례광장로 193, 1층 (장지동)",37.4817473,127.1422043
134,순수 한약국,"서울특별시 강동구 아리수로93길 19, 202호 (강일동)",37.5653807,127.174118
140,해피홈약국,"서울특별시 송파구 오금로 512, 207호 (거여동, 거여역2차쌍용아파트 207호)",37.4928771,127.145538
144,세계로약국,"서울특별시 송파구 거마로 66, (마천동)",37.4986781,127.147165
147,명약국,"서울특별시 송파구 거마로 62, 효명빌딩 1층 (마천동)",37.4984284,127.1470353
152,마천푸른솔약국,"서울특별시 송파구 거마로 60, 1층 (마천동)",37.4982069,127.1469515
158,건강플러스약국,"서울특별시 강동구 아리수로93길 27, 108호 (강일동, 강일타워)",37.5656316,127.1738307
159,드림팜약국,"서울특별시 강동구 아리수로93길 27, 405-1호 (강일동)",37.5656316,127.1738307
160,메디팜강일약국,"서울특별시 강동구 아리수로93길 27, 강일타워 106호 (강일동)",37.5656316,127.1738307
164,도영약국,"서울특별시 송파구 오금로 507, 거여빌딩 1층 (거여동)",37.4932394,127.1451931
170,스마트약국,"서울특별시 송파구 오금로 508, 스타빌딩 1층 101호 (거여동)",37.4928695,127.1450623
177,예성온누리약국,"서울특별시 송파구 거마로 28, 102호 (거여동)",37.4954206,127.1457022
178,온누리봄빛약국,"서울특별시 송파구 양산로10길 4, (거여동)",37.4925501,127.1447582
179,거여서울약국,"서울특별시 송파구 오금로 505, (거여동, 101호)",37.4932219,127.1449105
190,이화제니약국,"서울특별시 송파구 거마로 4, 102호 (거여동)",37.4933543,127.14486
203,수프라자약국,"서울특별시 송파구 거마로 61, 1층 (마천동, 강동중앙의원)",37.4984957,127.146426
210,행복약국,"서울특별시 송파구 양산로 42, (거여동)",37.4926414,127.1445023
215,소백약국,"서울특별시 송파구 양산로 12, 세신거여훼미리타운 1층 107호 (거여동)",37.4899347,127.1435829
221,샘물약국,"서울특별시 송파구 마천로 264, 흥일빌딩 1층 (거여동)",37.4980924,127.1461657
227,모주현약국,"서울특별시 강동구 고덕로 390, 고덕아르테온아파트(상가1동) 2층 204호 (상일동)",37.5566264,127.1687802
231,비전약국,"서울특별시 강동구 아리수로93나길 80, 성산타워2 108호 (강일동)",37.5725546,127.1762408
238,스마일약국,"서울특별시 강동구 고덕로 391, (고덕동)",37.5572185,127.1689885
244,세계로메디칼약국,"서울특별시 송파구 위례서로 248, 지하1층 L07, L08, L09호 (거여동)",37.4866428,127.1422629
247,두레약국,"서울특별시 강동구 고덕로83길 6, 101호 (고덕동)",37.5574053,127.1689424
249,위례탑약국,"서울특별시 송파구 위례서로 234, 212호 (거여동)",37.4855311,127.1417988
258,은행약국,"서울특별시 강동구 고덕로83길 14, 2층 201호 (고덕동)",37.55775,127.1689299
259,온누리모세종약국,"서울특별시 강동구 고덕로83길 18, (고덕동)",37.557982,127.1689055
264,봄날약국,"서울특별시 강동구 고덕로 380, 고덕아르테온아파트(상가2동) 2층 206호 (상일동)",37.5564806,127.1681333
265,상일약국,"서울특별시 강동구 고덕로 380, 고덕아르테온(근린생활시설-2) 2동 1층 105-1호 (상일동)",37.5564806,127.1681333
268,센트럴약국,"서울특별시 강동구 고덕로80길 123, 고덕센트럴아이파크아파트(상가A동) 2층 206호 (상일제1동)",37.5509309,127.165596
273,선약국,"서울특별시 강동구 고덕로 385, 고덕그라시움아파트(상가4동) 108,109호 (고덕동)",37.5573672,127.1684125
280,강일윤약국,"서울특별시 강동구 아리수로93나길 60, 골드프라자 109호 (강일동)",37.5722862,127.1751791
